STR,RES,import,dom,kuro,mark1,mark2,iprice,dprice,kprice
1306,1,0,0,0,0,0,0,0,0
1307,0,1,0,0,0,0,150,0,0
1307,0,0,1,0,0,0,0,128,0
1307,1,0,0,1,1,0,0,0,344
1307,0,0,0,0,0,0,0,0,0
1308,0,1,0,0,0,0,202,0,0
1308,0,0,1,0,0,0,0,298,0
1308,0,0,0,1,0,1,0,0,458
1308,1,0,0,0,0,0,0,0,0
1309,0,1,0,0,0,0,124,0,0
1309,0,0,1,0,0,0,0,196,0
1309,0,0,0,1,0,0,0,0,420
1309,1,0,0,0,0,0,0,0,0
1401,1,1,0,0,0,0,98,0,0
1401,0,0,1,0,0,0,0,230,0
1401,0,0,0,1,1,0,0,0,458
1401,0,0,0,0,0,0,0,0,0
1402,1,1,0,0,0,0,176,0,0
1402,0,0,1,0,0,0,0,162,0
1402,0,0,0,1,0,1,0,0,344
1402,0,0,0,0,0,0,0,0,0
1403,1,1,0,0,0,0,124,0,0
1403,0,0,1,0,0,0,0,162,0
1403,0,0,0,1,0,0,0,0,268
1403,0,0,0,0,0,0,0,0,0
1404,1,1,0,0,0,0,228,0,0
1404,0,0,1,0,0,0,0,196,0
1404,0,0,0,1,1,0,0,0,306
1404,0,0,0,0,0,0,0,0,0
1405,1,1,0,0,0,0,150,0,0
1405,0,0,1,0,0,0,0,230,0
1405,0,0,0,1,0,1,0,0,420
1405,0,0,0,0,0,0,0,0,0
1406,1,1,0,0,0,0,98,0,0
1406,0,0,1,0,0,0,0,264,0
1406,0,0,0,1,0,0,0,0,382
1406,0,0,0,0,0,0,0,0,0
1407,1,1,0,0,0,0,150,0,0
1407,0,0,1,0,0,0,0,128,0
1407,0,0,0,1,1,0,0,0,344
1407,0,0,0,0,0,0,0,0,0
1408,1,1,0,0,0,0,202,0,0
1408,0,0,1,0,0,0,0,298,0
1408,0,0,0,1,0,1,0,0,458
1408,0,0,0,0,0,0,0,0,0
1409,1,1,0,0,0,0,124,0,0
1409,0,0,1,0,0,0,0,196,0
1409,0,0,0,1,0,0,0,0,420
1409,0,0,0,0,0,0,0,0,0
1501,0,1,0,0,0,0,98,0,0
1501,1,0,1,0,0,0,0,230,0
1501,0,0,0,1,1,0,0,0,458
1501,0,0,0,0,0,0,0,0,0
1502,0,1,0,0,0,0,176,0,0
1502,0,0,1,0,0,0,0,162,0
1502,1,0,0,1,0,1,0,0,344
1502,0,0,0,0,0,0,0,0,0
1503,0,1,0,0,0,0,124,0,0
1503,0,0,1,0,0,0,0,162,0
1503,1,0,0,1,0,0,0,0,268
1503,0,0,0,0,0,0,0,0,0
1504,0,1,0,0,0,0,228,0,0
1504,0,0,1,0,0,0,0,196,0
1504,1,0,0,1,1,0,0,0,306
1504,0,0,0,0,0,0,0,0,0
1505,0,1,0,0,0,0,150,0,0
1505,1,0,1,0,0,0,0,230,0
1505,0,0,0,1,0,1,0,0,420
1505,0,0,0,0,0,0,0,0,0
1506,0,1,0,0,0,0,98,0,0
1506,0,0,1,0,0,0,0,264,0
1506,1,0,0,1,0,0,0,0,382
1506,0,0,0,0,0,0,0,0,0
1507,0,1,0,0,0,0,150,0,0
1507,0,0,1,0,0,0,0,128,0
1507,1,0,0,1,1,0,0,0,344
1507,0,0,0,0,0,0,0,0,0
1508,0,1,0,0,0,0,202,0,0
1508,1,0,1,0,0,0,0,298,0
1508,0,0,0,1,0,1,0,0,458
1508,0,0,0,0,0,0,0,0,0
1509,0,1,0,0,0,0,124,0,0
1509,1,0,1,0,0,0,0,196,0
1509,0,0,0,1,0,0,0,0,420
1509,0,0,0,0,0,0,0,0,0
1601,1,1,0,0,0,0,98,0,0
1601,0,0,1,0,0,0,0,230,0
1601,0,0,0,1,1,0,0,0,458
1601,0,0,0,0,0,0,0,0,0
1602,0,1,0,0,0,0,176,0,0
1602,1,0,1,0,0,0,0,162,0
1602,0,0,0,1,0,1,0,0,344
1602,0,0,0,0,0,0,0,0,0
1603,1,1,0,0,0,0,124,0,0
1603,0,0,1,0,0,0,0,162,0
1603,0,0,0,1,0,0,0,0,268
1603,0,0,0,0,0,0,0,0,0
1604,0,1,0,0,0,0,228,0,0
1604,1,0,1,0,0,0,0,196,0
1604,0,0,0,1,1,0,0,0,306
1604,0,0,0,0,0,0,0,0,0
1605,1,1,0,0,0,0,150,0,0
1605,0,0,1,0,0,0,0,230,0
1605,0,0,0,1,0,1,0,0,420
1605,0,0,0,0,0,0,0,0,0
1606,1,1,0,0,0,0,98,0,0
1606,0,0,1,0,0,0,0,264,0
1606,0,0,0,1,0,0,0,0,382
1606,0,0,0,0,0,0,0,0,0
1607,0,1,0,0,0,0,150,0,0
1607,1,0,1,0,0,0,0,128,0
1607,0,0,0,1,1,0,0,0,344
1607,0,0,0,0,0,0,0,0,0
1608,1,1,0,0,0,0,202,0,0
1608,0,0,1,0,0,0,0,298,0
1608,0,0,0,1,0,1,0,0,458
1608,0,0,0,0,0,0,0,0,0
1609,1,1,0,0,0,0,124,0,0
1609,0,0,1,0,0,0,0,196,0
1609,0,0,0,1,0,0,0,0,420
1609,0,0,0,0,0,0,0,0,0
1701,0,1,0,0,0,0,98,0,0
1701,1,0,1,0,0,0,0,230,0
1701,0,0,0,1,1,0,0,0,458
1701,0,0,0,0,0,0,0,0,0
1702,0,1,0,0,0,0,176,0,0
1702,1,0,1,0,0,0,0,162,0
1702,0,0,0,1,0,1,0,0,344
1702,0,0,0,0,0,0,0,0,0
1703,0,1,0,0,0,0,124,0,0
1703,0,0,1,0,0,0,0,162,0
1703,1,0,0,1,0,0,0,0,268
1703,0,0,0,0,0,0,0,0,0
1704,0,1,0,0,0,0,228,0,0
1704,0,0,1,0,0,0,0,196,0
1704,1,0,0,1,1,0,0,0,306
1704,0,0,0,0,0,0,0,0,0
1705,0,1,0,0,0,0,150,0,0
1705,1,0,1,0,0,0,0,230,0
1705,0,0,0,1,0,1,0,0,420
1705,0,0,0,0,0,0,0,0,0
1706,0,1,0,0,0,0,98,0,0
1706,1,0,1,0,0,0,0,264,0
1706,0,0,0,1,0,0,0,0,382
1706,0,0,0,0,0,0,0,0,0
1707,0,1,0,0,0,0,150,0,0
1707,1,0,1,0,0,0,0,128,0
1707,0,0,0,1,1,0,0,0,344
1707,0,0,0,0,0,0,0,0,0
1708,0,1,0,0,0,0,202,0,0
1708,1,0,1,0,0,0,0,298,0
1708,0,0,0,1,0,1,0,0,458
1708,0,0,0,0,0,0,0,0,0
1709,0,1,0,0,0,0,124,0,0
1709,1,0,1,0,0,0,0,196,0
1709,0,0,0,1,0,0,0,0,420
1709,0,0,0,0,0,0,0,0,0
1801,0,1,0,0,0,0,98,0,0
1801,0,0,1,0,0,0,0,230,0
1801,1,0,0,1,1,0,0,0,458
1801,0,0,0,0,0,0,0,0,0
1802,0,1,0,0,0,0,176,0,0
1802,0,0,1,0,0,0,0,162,0
1802,1,0,0,1,0,1,0,0,344
1802,0,0,0,0,0,0,0,0,0
1803,0,1,0,0,0,0,124,0,0
1803,0,0,1,0,0,0,0,162,0
1803,1,0,0,1,0,0,0,0,268
1803,0,0,0,0,0,0,0,0,0
1804,0,1,0,0,0,0,228,0,0
1804,0,0,1,0,0,0,0,196,0
1804,1,0,0,1,1,0,0,0,306
1804,0,0,0,0,0,0,0,0,0
1805,0,1,0,0,0,0,150,0,0
1805,0,0,1,0,0,0,0,230,0
1805,1,0,0,1,0,1,0,0,420
1805,0,0,0,0,0,0,0,0,0
1806,0,1,0,0,0,0,98,0,0
1806,0,0,1,0,0,0,0,264,0
1806,1,0,0,1,0,0,0,0,382
1806,0,0,0,0,0,0,0,0,0
1807,0,1,0,0,0,0,150,0,0
1807,0,0,1,0,0,0,0,128,0
1807,1,0,0,1,1,0,0,0,344
1807,0,0,0,0,0,0,0,0,0
1808,0,1,0,0,0,0,202,0,0
1808,0,0,1,0,0,0,0,298,0
1808,1,0,0,1,0,1,0,0,458
1808,0,0,0,0,0,0,0,0,0
1809,0,1,0,0,0,0,124,0,0
1809,0,0,1,0,0,0,0,196,0
1809,1,0,0,1,0,0,0,0,420
1809,0,0,0,0,0,0,0,0,0
1901,0,1,0,0,0,0,98,0,0
1901,1,0,1,0,0,0,0,230,0
1901,0,0,0,1,1,0,0,0,458
1901,0,0,0,0,0,0,0,0,0
1902,0,1,0,0,0,0,176,0,0
1902,1,0,1,0,0,0,0,162,0
1902,0,0,0,1,0,1,0,0,344
1902,0,0,0,0,0,0,0,0,0
1903,0,1,0,0,0,0,124,0,0
1903,1,0,1,0,0,0,0,162,0
1903,0,0,0,1,0,0,0,0,268
1903,0,0,0,0,0,0,0,0,0
1904,0,1,0,0,0,0,228,0,0
1904,0,0,1,0,0,0,0,196,0
1904,1,0,0,1,1,0,0,0,306
1904,0,0,0,0,0,0,0,0,0
1905,0,1,0,0,0,0,150,0,0
1905,1,0,1,0,0,0,0,230,0
1905,0,0,0,1,0,1,0,0,420
1905,0,0,0,0,0,0,0,0,0
1906,0,1,0,0,0,0,98,0,0
1906,1,0,1,0,0,0,0,264,0
1906,0,0,0,1,0,0,0,0,382
1906,0,0,0,0,0,0,0,0,0
1907,0,1,0,0,0,0,150,0,0
